time_point_idx,time_offset_ms,start_time_us,eps,min_samples,window_us,window_ms,min_cluster_events,max_y_spread,total_events,total_clusters,valid_clusters,filtered_clusters,noise_points,noise_pct,min_cluster_size,max_cluster_size,mean_cluster_size,mean_y_spread,mean_x_spread
0,0.0,4006976,3,5,15000,15.0,200,6.0,6558,198,3,195,1148,17.505336992985665,379,2293,1042.0,1.8365146807290238,19.689029913419404
0,0.0,4006976,3,5,15000,15.0,300,4.0,6558,198,3,195,1148,17.505336992985665,379,2293,1042.0,1.8365146807290238,19.689029913419404
0,0.0,4006976,3,5,15000,15.0,300,5.0,6558,198,3,195,1148,17.505336992985665,379,2293,1042.0,1.8365146807290238,19.689029913419404
0,0.0,4006976,3,5,15000,15.0,300,6.0,6558,198,3,195,1148,17.505336992985665,379,2293,1042.0,1.8365146807290238,19.689029913419404
0,0.0,4006976,3,5,20000,20.0,100,4.0,8391,238,4,234,1038,12.370396853771899,148,3025,1052.5,1.6069235007686624,16.20130772922212
0,0.0,4006976,3,5,20000,20.0,100,5.0,8391,238,4,234,1038,12.370396853771899,148,3025,1052.5,1.6069235007686624,16.20130772922212
0,0.0,4006976,3,5,20000,20.0,100,6.0,8391,238,4,234,1038,12.370396853771899,148,3025,1052.5,1.6069235007686624,16.20130772922212
0,0.0,4006976,3,5,20000,20.0,200,4.0,8391,238,3,235,1038,12.370396853771899,460,3025,1354.0,1.8515182472881364,19.659795376277426
0,0.0,4006976,3,5,20000,20.0,200,5.0,8391,238,3,235,1038,12.370396853771899,460,3025,1354.0,1.8515182472881364,19.659795376277426
0,0.0,4006976,3,5,20000,20.0,200,6.0,8391,238,3,235,1038,12.370396853771899,460,3025,1354.0,1.8515182472881364,19.659795376277426
0,0.0,4006976,3,5,20000,20.0,300,4.0,8391,238,3,235,1038,12.370396853771899,460,3025,1354.0,1.8515182472881364,19.659795376277426
0,0.0,4006976,3,5,20000,20.0,300,5.0,8391,238,3,235,1038,12.370396853771899,460,3025,1354.0,1.8515182472881364,19.659795376277426
0,0.0,4006976,3,5,20000,20.0,300,6.0,8391,238,3,235,1038,12.370396853771899,460,3025,1354.0,1.8515182472881364,19.659795376277426
0,0.0,4006976,3,10,5000,5.0,100,4.0,1985,6,3,3,952,47.95969773299748,140,377,289.3333333333333,1.7228340193113618,8.741941990798217
0,0.0,4006976,3,10,5000,5.0,100,5.0,1985,6,3,3,952,47.95969773299748,140,377,289.3333333333333,1.7228340193113618,8.741941990798217
0,0.0,4006976,3,10,5000,5.0,100,6.0,1985,6,3,3,952,47.95969773299748,140,377,289.3333333333333,1.7228340193113618,8.741941990798217
0,0.0,4006976,3,10,5000,5.0,200,4.0,1985,6,2,4,952,47.95969773299748,351,377,364.0,2.168612842510581,8.495660788499777
0,0.0,4006976,3,10,5000,5.0,200,5.0,1985,6,2,4,952,47.95969773299748,351,377,364.0,2.168612842510581,8.495660788499777
0,0.0,4006976,3,10,5000,5.0,200,6.0,1985,6,2,4,952,47.95969773299748,351,377,364.0,2.168612842510581,8.495660788499777
0,0.0,4006976,3,10,5000,5.0,300,4.0,1985,6,2,4,952,47.95969773299748,351,377,364.0,2.168612842510581,8.495660788499777
0,0.0,4006976,3,10,5000,5.0,300,5.0,1985,6,2,4,952,47.95969773299748,351,377,364.0,2.168612842510581,8.495660788499777
0,0.0,4006976,3,10,5000,5.0,300,6.0,1985,6,2,4,952,47.95969773299748,351,377,364.0,2.168612842510581,8.495660788499777
0,0.0,4006976,3,10,10000,10.0,100,4.0,4302,20,4,16,1989,46.23430962343096,256,754,509.25,1.7318556539932923,9.29151462114239
0,0.0,4006976,3,10,10000,10.0,100,5.0,4302,20,4,16,1989,46.23430962343096,256,754,509.25,1.7318556539932923,9.29151462114239
0,0.0,4006976,3,10,10000,10.0,100,6.0,4302,20,4,16,1989,46.23430962343096,256,754,509.25,1.7318556539932923,9.29151462114239
0,0.0,4006976,3,10,10000,10.0,200,4.0,4302,20,4,16,1989,46.23430962343096,256,754,509.25,1.7318556539932923,9.29151462114239
0,0.0,4006976,3,10,10000,10.0,200,5.0,4302,20,4,16,1989,46.23430962343096,256,754,509.25,1.7318556539932923,9.29151462114239
0,0.0,4006976,3,10,10000,10.0,200,6.0,4302,20,4,16,1989,46.23430962343096,256,754,509.25,1.7318556539932923,9.29151462114239
0,0.0,4006976,3,10,10000,10.0,300,4.0,4302,20,3,17,1989,46.23430962343096,306,754,593.6666666666666,1.8680765993506323,8.833412295431808
0,0.0,4006976,3,10,10000,10.0,300,5.0,4302,20,3,17,1989,46.23430962343096,306,754,593.6666666666666,1.8680765993506323,8.833412295431808
0,0.0,4006976,3,10,10000,10.0,300,6.0,4302,20,3,17,1989,46.23430962343096,306,754,593.6666666666666,1.8680765993506323,8.833412295431808
0,0.0,4006976,3,10,15000,15.0,100,4.0,6558,54,5,49,2579,39.326014028667274,111,1152,638.6,1.6014773366386243,8.363409150487874
0,0.0,4006976,3,10,15000,15.0,100,5.0,6558,54,5,49,2579,39.326014028667274,111,1152,638.6,1.6014773366386243,8.363409150487874
0,0.0,4006976,3,10,15000,15.0,100,6.0,6558,54,5,49,2579,39.326014028667274,111,1152,638.6,1.6014773366386243,8.363409150487874
0,0.0,4006976,3,10,15000,15.0,200,4.0,6558,54,4,50,2579,39.326014028667274,376,1152,770.5,1.7897280279519545,9.332106277190395
0,0.0,4006976,3,10,15000,15.0,200,5.0,6558,54,4,50,2579,39.326014028667274,376,1152,770.5,1.7897280279519545,9.332106277190395
0,0.0,4006976,3,10,15000,15.0,200,6.0,6558,54,4,50,2579,39.326014028667274,376,1152,770.5,1.7897280279519545,9.332106277190395
0,0.0,4006976,3,10,15000,15.0,300,4.0,6558,54,4,50,2579,39.326014028667274,376,1152,770.5,1.7897280279519545,9.332106277190395
0,0.0,4006976,3,10,15000,15.0,300,5.0,6558,54,4,50,2579,39.326014028667274,376,1152,770.5,1.7897280279519545,9.332106277190395
0,0.0,4006976,3,10,15000,15.0,300,6.0,6558,54,4,50,2579,39.326014028667274,376,1152,770.5,1.7897280279519545,9.332106277190395
0,0.0,4006976,3,10,20000,20.0,100,4.0,8391,87,4,83,2802,33.39292098677154,148,3025,1052.0,1.6076554097502813,16.174701650398966
0,0.0,4006976,3,10,20000,20.0,100,5.0,8391,87,4,83,2802,33.39292098677154,148,3025,1052.0,1.6076554097502813,16.174701650398966
0,0.0,4006976,3,10,20000,20.0,100,6.0,8391,87,4,83,2802,33.39292098677154,148,3025,1052.0,1.6076554097502813,16.174701650398966
0,0.0,4006976,3,10,20000,20.0,200,4.0,8391,87,3,84,2802,33.39292098677154,458,3025,1353.3333333333333,1.852494125930295,19.624320604513226
0,0.0,4006976,3,10,20000,20.0,200,5.0,8391,87,3,84,2802,33.39292098677154,458,3025,1353.3333333333333,1.852494125930295,19.624320604513226
0,0.0,4006976,3,10,20000,20.0,200,6.0,8391,87,3,84,2802,33.39292098677154,458,3025,1353.3333333333333,1.852494125930295,19.624320604513226
0,0.0,4006976,3,10,20000,20.0,300,4.0,8391,87,3,84,2802,33.39292098677154,458,3025,1353.3333333333333,1.852494125930295,19.624320604513226
0,0.0,4006976,3,10,20000,20.0,300,5.0,8391,87,3,84,2802,33.39292098677154,458,3025,1353.3333333333333,1.852494125930295,19.624320604513226
0,0.0,4006976,3,10,20000,20.0,300,6.0,8391,87,3,84,2802,33.39292098677154,458,3025,1353.3333333333333,1.852494125930295,19.624320604513226
0,0.0,4006976,3,15,5000,5.0,100,4.0,1985,7,3,4,981,49.42065491183879,113,373,278.0,1.7328635804476207,7.345162579817445
0,0.0,4006976,3,15,5000,5.0,100,5.0,1985,7,3,4,981,49.42065491183879,113,373,278.0,1.7328635804476207,7.345162579817445
0,0.0,4006976,3,15,5000,5.0,100,6.0,1985,7,3,4,981,49.42065491183879,113,373,278.0,1.7328635804476207,7.345162579817445
0,0.0,4006976,3,15,5000,5.0,200,4.0,1985,7,2,5,981,49.42065491183879,348,373,360.5,2.1622938618173997,8.296745966882122
0,0.0,4006976,3,15,5000,5.0,200,5.0,1985,7,2,5,981,49.42065491183879,348,373,360.5,2.1622938618173997,8.296745966882122
0,0.0,4006976,3,15,5000,5.0,200,6.0,1985,7,2,5,981,49.42065491183879,348,373,360.5,2.1622938618173997,8.296745966882122
